theta0	H_PT	beta_over_H	beta	v_w	rho_noPT	mean_ratio	std_ratio	N_samples
4.908738521234e-02	0.05	4	0.2	0.5	2.443712446620e-08	2.754187596753e+01	6.291554688580e+00	5
4.908738521234e-02	0.05	4	0.2	0.9	2.443712446620e-08	5.133461063265e+01	9.360077141610e+00	5
4.908738521234e-02	0.05	8	0.4	0.5	2.443712446620e-08	4.035466664380e+01	3.589578942703e+00	5
4.908738521234e-02	0.05	8	0.4	0.9	2.443712446620e-08	6.754028115416e+01	7.183009110591e+00	5
4.908738521234e-02	0.05	10	0.5	0.5	2.443712446620e-08	4.179621921142e+01	5.280234767450e+00	5
4.908738521234e-02	0.05	10	0.5	0.9	2.443712446620e-08	5.612752923866e+01	2.261455326836e+01	5
4.908738521234e-02	0.05	20	1.0	0.5	2.443712446620e-08	6.390205130869e+01	2.631816078360e+00	5
4.908738521234e-02	0.05	20	1.0	0.9	2.443712446620e-08	8.402321301818e+01	1.340561577351e+00	5
4.908738521234e-02	0.05	40	2.0	0.5	2.443712446620e-08	7.730132613502e+01	1.706188361958e-01	5
4.908738521234e-02	0.05	40	2.0	0.9	2.443712446620e-08	8.202577957651e+01	7.079334741574e-01	5
4.908738521234e-02	0.1	4	0.4	0.5	7.218565656331e-08	1.964524428622e+01	1.451842244990e+00	5
4.908738521234e-02	0.1	4	0.4	0.9	7.218565656331e-08	3.169758515969e+01	1.877972100801e+00	5
4.908738521234e-02	0.1	8	0.8	0.5	7.218565656331e-08	2.789296920310e+01	7.827678851153e-01	5
4.908738521234e-02	0.1	8	0.8	0.9	7.218565656331e-08	3.926225346734e+01	1.433727108777e+00	5
4.908738521234e-02	0.1	10	1.0	0.5	7.218565656331e-08	3.199226923032e+01	3.964141324728e-01	5
4.908738521234e-02	0.1	10	1.0	0.9	7.218565656331e-08	3.854772790373e+01	1.446423702440e+00	5
4.908738521234e-02	0.1	20	2.0	0.5	7.218565656331e-08	3.728515552025e+01	2.517147819801e-01	5
4.908738521234e-02	0.1	20	2.0	0.9	7.218565656331e-08	3.676501482691e+01	5.579136740903e-01	5
4.908738521234e-02	0.1	40	4.0	0.5	7.218565656331e-08	3.312980803021e+01	2.877088426610e-02	5
4.908738521234e-02	0.1	40	4.0	0.9	7.218565656331e-08	3.194285581231e+01	7.170813876483e-02	5
2.454369260617e-02	0.05	4	0.2	0.5	6.107022727520e-09	2.931681878129e+01	6.805978226050e+00	5
2.454369260617e-02	0.05	4	0.2	0.9	6.107022727520e-09	4.747158963470e+01	2.705798155942e+01	5
2.454369260617e-02	0.05	8	0.4	0.5	6.107022727520e-09	3.857311037155e+01	3.250931691823e+00	5
2.454369260617e-02	0.05	8	0.4	0.9	6.107022727520e-09	6.174695531085e+01	5.921163865015e+00	5
2.454369260617e-02	0.05	10	0.5	0.5	6.107022727520e-09	4.177845000977e+01	2.714025318357e+00	5
2.454369260617e-02	0.05	10	0.5	0.9	6.107022727520e-09	6.392110211152e+01	1.352722431639e+01	5
